filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,style
blues.00000.wav,0.34994322,0.13022463,1784.4204464946633,2002.6501916232635,3806.4853160373937,0.08306639113293343,-113.59675,121.5573,-19.158825,42.351032,-6.376458,18.618876,-13.697911,15.344631,-12.285267,10.980492,-8.324325,8.810669,-3.6673682,5.751691,-5.1627626,0.75094783,-1.6919376,-0.40995264,-2.3002088,1.2199285,blues
blues.00001.wav,0.3409832,0.095918424,1529.8353159300755,2038.6175789692213,3548.8202074363876,0.056044256724071206,-207.5568,124.00672,8.93056,35.874687,2.9160368,21.523726,-8.554704,23.358671,-10.103617,11.903744,-5.560388,5.376803,-2.2391195,4.2169633,-6.0122733,0.9361094,-0.71653724,0.29387605,-0.2874308,0.5315728,blues
blues.00002.wav,0.36360285,0.17557304,1552.4819582458863,1747.1659849613065,3040.514947755418,0.07630074799245357,-90.75439,140.4599,-29.109964,31.689014,-13.987036,25.754759,-13.649587,11.6292715,-11.780589,9.706443,-13.123111,5.789265,-8.905224,-1.08372,-9.218358,2.455806,-7.726901,-1.815723,-3.4334342,-2.2268214,blues
blues.00003.wav,0.404779,0.14119118,1070.1199533246056,1596.333947762686,2185.028454098539,0.03330894446594427,-199.43115,150.09921,5.647593,26.871927,1.7544614,14.238345,-4.8308825,9.297966,-0.75774163,8.149013,-3.196314,6.087676,-2.4764209,-1.0738901,-2.8747776,0.78097713,-3.316932,0.6379816,-0.61968994,-3.4082334,blues
blues.00004.wav,0.3085901,0.09156322,1835.4946028033319,1748.3624480992835,3580.945013182082,0.1015001421004257,-160.26604,126.19881,-35.60545,22.153301,-32.48927,10.864513,-23.35793,0.503118,-11.805832,1.2068051,-13.083821,-2.8063834,-6.934123,-7.558618,-9.173553,-4.5121646,-5.4535384,-0.9241607,-4.4093328,-11.703781,blues
blues.00005.wav,0.30234644,0.10346758,1831.9423675966689,1729.483241126701,3480.9372845818016,0.09403986975135449,-177.86905,118.19691,-17.550674,30.758635,-21.742746,11.903803,-20.734247,3.1805975,-8.583484,-0.93648726,-11.776275,-2.420614,-9.339365,-9.939324,-3.9098926,-5.570624,-1.8390235,-2.7784204,-3.046866,-8.115809,blues
blues.00006.wav,0.29130802,0.14179581,1459.0784827344287,1388.9133116502305,2795.6164286232583,0.07302790308146284,-190.14948,130.29695,-36.34414,33.013054,11.1069355,-0.61515844,-20.86201,0.2700912,-6.4897604,-5.5170937,-7.840328,-3.1256783,-6.593118,-9.942267,-6.5372243,-10.064754,-10.91217,-6.972478,-3.4490335,-6.49551,blues
blues.00007.wav,0.30792105,0.13178548,1451.7541466600387,1577.3699166309077,2955.348796076819,0.06143500266060371,-179.39543,136.45924,-26.656363,39.98803,5.2896767,10.924428,-20.56189,8.513765,-11.356909,-3.4690769,-8.414556,-6.9548264,-3.5445356,-8.051242,-8.959537,-8.424336,-10.558884,-10.788157,-4.6937485,-8.638613,blues
blues.00008.wav,0.40903714,0.1424381,1719.2131626636947,2031.6438835817446,3781.318801549197,0.06402757957623839,-121.36102,122.51311,-14.74213,46.143444,-8.165333,20.176525,-19.172476,23.055616,-11.8305025,21.17701,-6.72119,7.010945,-12.741831,5.0660043,-5.1754775,-1.4440242,-7.0370703,2.6974516,3.4098086,-2.6983528,blues
blues.00009.wav,0.27400923,0.08135202,1817.5163862399386,1973.7390701415939,3944.451148443547,0.0792153184258901,-213.1808,115.152794,-11.716267,39.029472,-20.352757,13.082405,-9.173482,9.0161495,-14.097915,4.278178,-6.039595,3.7847714,0.22566757,-5.1136374,-0.413064,-1.1845372,-1.9207147,-2.2937274,2.8912659,-4.2332044,blues
